,,,,,,,
,Name,Price,24h %,7d %,Market Cap,Volume(24h),Circulating Supply
,"Bitcoin
BTC","$38,326.21",1.56%,1.92%,$727.06B,"$26,290,251,046
685,960 BTC","18,970,300 BTC"
,"Ethereum
ETH","$2,627.98",4.52%,3.61%,$314.74B,"$17,834,889,159
6,786,538 ETH","119,764,073 ETH"
,"Tether
USDT",$1.00,0.01%,0.00%,$79.61B,"$61,546,165,941
61,516,207,768 USDT","79,576,056,394 USDT"
,"BNB
BNB",$367.11,1.75%,5.14%,$60.62B,"$1,613,522,119
4,395,220 BNB","165,116,761 BNB"
,"USD Coin
USDC",$1.00,0.00%,0.01%,$53.40B,"$4,807,249,264
4,808,175,116 USDC","53,414,672,938 USDC"
,"XRP
XRP",$0.72,2.83%,8.50%,$34.75B,"$2,816,275,218
3,886,518,562 XRP","47,949,281,138 XRP"
,"Cardano
ADA",$0.88,0.51%,9.31%,$29.63B,"$1,490,439,220
1,692,794,145 ADA","33,648,042,618 ADA"
,"Solana
SOL",$90.22,1.09%,4.90%,$28.88B,"$2,368,775,839
26,254,111 SOL","320,062,752 SOL"
,"Terra
LUNA",$74.21,2.38%,43.00%,$27.99B,"$3,148,787,134
42,429,348 LUNA","377,114,127 LUNA"
,"Avalanche
AVAX",$75.14,5.76%,7.51%,$18.49B,"$1,553,411,372
20,673,623 AVAX","246,067,410 AVAX"
,"Binance USD
BUSD",$1.00,0.09%,0.08%,$18.14B,"$4,944,053,648
4,943,610,277 BUSD","18,138,248,436 BUSD"
,"Polkadot
DOT",$17.03,5.36%,2.92%,$16.82B,"$1,442,710,559
84,700,574 DOT","987,579,315 DOT"
,"Dogecoin
DOGE",$0.12,1.56%,11.29%,$16.45B,"$626,583,936
5,054,458,728 DOGE","132,670,764,300 DOGE"
,"Shiba Inu
SHIB",$0.00,1.99%,11.47%,$13.12B,"$1,245,404,766
52,137,412,086,699 SHIB","549,063,278,876,302 SHIB"
,"TerraUSD
UST",$1.00,0.18%,0.10%,$12.89B,"$414,143,575
413,301,439 UST","12,862,542,834 UST"
,"Polygon
MATIC",$1.47,1.82%,7.73%,$11.07B,"$1,061,992,996
723,146,259 MATIC","7,537,850,960 MATIC"
,"Cronos
CRO",$0.40,2.89%,3.82%,$10.09B,"$100,362,694
251,227,007 CRO","25,263,013,692 CRO"
,"Wrapped Bitcoin
WBTC","$38,268.04",1.79%,2.12%,$10.06B,"$260,188,441
6,799 WBTC","262,762 WBTC"
,"Dai
DAI",$1.00,0.02%,0.02%,$9.66B,"$308,654,400
308,807,132 DAI","9,663,678,875 DAI"
,"Cosmos
ATOM",$28.07,2.44%,4.53%,$8.04B,"$1,044,672,077
37,219,384 ATOM","286,370,297 ATOM"
